Timestamp,LatencyMs,Tick,Configuration
5.396,14.552,198,Oculus Quest_Android
5.547,83.002,218,Oculus Quest_Android
5.563,129.024,249,Oculus Quest_Android
5.593,29.132,256,Oculus Quest_Android
5.609,15.726,260,Oculus Quest_Android
5.624,15.507,263,Oculus Quest_Android
5.639,14.664,267,Oculus Quest_Android
5.655,14.842,270,Oculus Quest_Android
5.669,15.815,274,Oculus Quest_Android
5.683,13.676,277,Oculus Quest_Android
5.697,14.573,281,Oculus Quest_Android
5.714,14.090,284,Oculus Quest_Android
5.732,17.897,289,Oculus Quest_Android
5.759,24.660,295,Oculus Quest_Android
5.773,18.824,299,Oculus Quest_Android
5.788,14.507,303,Oculus Quest_Android
5.811,22.610,308,Oculus Quest_Android
5.830,15.693,312,Oculus Quest_Android
5.853,26.516,318,Oculus Quest_Android
5.868,15.850,322,Oculus Quest_Android
5.886,14.764,326,Oculus Quest_Android
5.912,25.290,332,Oculus Quest_Android
5.927,18.132,336,Oculus Quest_Android
5.953,23.695,342,Oculus Quest_Android
5.969,17.161,346,Oculus Quest_Android
5.995,24.589,352,Oculus Quest_Android
6.011,17.281,356,Oculus Quest_Android
6.035,24.843,362,Oculus Quest_Android
6.052,15.761,366,Oculus Quest_Android
6.078,25.639,372,Oculus Quest_Android
6.094,17.338,377,Oculus Quest_Android
6.122,24.954,383,Oculus Quest_Android
6.145,27.563,389,Oculus Quest_Android
6.162,14.741,393,Oculus Quest_Android
6.179,17.076,397,Oculus Quest_Android
6.202,24.137,403,Oculus Quest_Android
6.218,15.119,407,Oculus Quest_Android
6.233,16.156,410,Oculus Quest_Android
6.259,24.432,416,Oculus Quest_Android
6.276,16.581,420,Oculus Quest_Android
6.298,24.610,426,Oculus Quest_Android
6.315,14.759,430,Oculus Quest_Android
6.332,16.872,434,Oculus Quest_Android
6.357,24.342,440,Oculus Quest_Android
6.374,17.569,444,Oculus Quest_Android
6.397,24.126,450,Oculus Quest_Android
6.413,16.396,454,Oculus Quest_Android
6.427,15.243,458,Oculus Quest_Android
6.453,24.345,464,Oculus Quest_Android
6.467,15.662,467,Oculus Quest_Android
6.481,13.728,471,Oculus Quest_Android
6.494,13.949,474,Oculus Quest_Android
6.509,13.693,477,Oculus Quest_Android
6.524,14.891,481,Oculus Quest_Android
6.538,14.725,485,Oculus Quest_Android
6.553,13.601,488,Oculus Quest_Android
6.577,24.878,494,Oculus Quest_Android
6.592,15.263,498,Oculus Quest_Android
6.609,14.023,501,Oculus Quest_Android
6.635,26.022,507,Oculus Quest_Android
6.650,17.737,512,Oculus Quest_Android
6.675,24.065,517,Oculus Quest_Android
6.690,16.123,521,Oculus Quest_Android
6.704,13.969,525,Oculus Quest_Android
6.719,14.716,528,Oculus Quest_Android
6.733,14.372,532,Oculus Quest_Android
6.751,13.734,535,Oculus Quest_Android
6.766,17.962,540,Oculus Quest_Android
6.783,15.897,543,Oculus Quest_Android
6.797,16.386,547,Oculus Quest_Android
6.812,14.154,551,Oculus Quest_Android
6.826,15.399,554,Oculus Quest_Android
6.840,14.323,558,Oculus Quest_Android
6.854,13.909,561,Oculus Quest_Android
6.869,13.600,564,Oculus Quest_Android
6.886,14.910,568,Oculus Quest_Android
6.900,16.916,572,Oculus Quest_Android
6.915,14.024,575,Oculus Quest_Android
6.929,15.503,579,Oculus Quest_Android
6.944,14.004,582,Oculus Quest_Android
6.958,14.632,586,Oculus Quest_Android
6.972,13.423,589,Oculus Quest_Android
6.986,14.717,593,Oculus Quest_Android
7.001,13.910,596,Oculus Quest_Android
7.018,14.651,600,Oculus Quest_Android
7.036,17.550,604,Oculus Quest_Android
7.055,18.202,608,Oculus Quest_Android
7.070,18.324,613,Oculus Quest_Android
7.086,15.224,616,Oculus Quest_Android
7.100,16.157,620,Oculus Quest_Android
7.116,14.002,623,Oculus Quest_Android
7.130,15.375,627,Oculus Quest_Android
7.144,13.824,630,Oculus Quest_Android
7.159,15.549,634,Oculus Quest_Android
7.174,14.678,638,Oculus Quest_Android
7.189,14.780,641,Oculus Quest_Android
7.203,14.794,645,Oculus Quest_Android
7.220,13.839,648,Oculus Quest_Android
7.235,17.223,652,Oculus Quest_Android
7.250,14.091,656,Oculus Quest_Android
7.263,15.233,659,Oculus Quest_Android
7.277,13.067,662,Oculus Quest_Android
7.291,13.882,666,Oculus Quest_Android
7.304,14.125,669,Oculus Quest_Android
7.318,13.459,672,Oculus Quest_Android
7.332,14.011,676,Oculus Quest_Android
7.345,13.115,679,Oculus Quest_Android
7.358,13.611,682,Oculus Quest_Android
7.372,13.383,685,Oculus Quest_Android
7.385,13.432,689,Oculus Quest_Android
7.398,13.327,692,Oculus Quest_Android
7.412,13.264,695,Oculus Quest_Android
7.426,13.935,698,Oculus Quest_Android
7.440,13.421,702,Oculus Quest_Android
7.453,14.287,705,Oculus Quest_Android
7.467,13.428,708,Oculus Quest_Android
7.481,13.570,711,Oculus Quest_Android
7.494,13.955,715,Oculus Quest_Android
7.507,13.162,718,Oculus Quest_Android
7.520,13.107,721,Oculus Quest_Android
7.534,13.549,724,Oculus Quest_Android
7.548,13.688,728,Oculus Quest_Android
7.562,14.248,731,Oculus Quest_Android
7.576,13.566,734,Oculus Quest_Android
7.590,14.099,738,Oculus Quest_Android
7.603,13.729,741,Oculus Quest_Android
7.618,14.070,744,Oculus Quest_Android
7.631,13.952,748,Oculus Quest_Android
7.645,13.836,751,Oculus Quest_Android
7.659,14.107,754,Oculus Quest_Android
7.674,13.908,758,Oculus Quest_Android
7.688,14.063,761,Oculus Quest_Android
7.701,13.691,764,Oculus Quest_Android
7.715,13.591,768,Oculus Quest_Android
7.729,13.912,771,Oculus Quest_Android
7.743,13.923,774,Oculus Quest_Android
7.757,13.877,778,Oculus Quest_Android
7.771,14.344,781,Oculus Quest_Android
7.785,13.799,784,Oculus Quest_Android
7.799,13.795,788,Oculus Quest_Android
7.813,13.931,791,Oculus Quest_Android
7.830,14.787,795,Oculus Quest_Android
7.846,16.425,798,Oculus Quest_Android
7.863,16.460,802,Oculus Quest_Android
7.879,16.539,806,Oculus Quest_Android
7.895,16.253,810,Oculus Quest_Android
7.913,15.304,814,Oculus Quest_Android
7.929,18.801,818,Oculus Quest_Android
7.944,15.791,822,Oculus Quest_Android
7.961,15.075,826,Oculus Quest_Android
7.975,16.329,829,Oculus Quest_Android
7.988,14.114,833,Oculus Quest_Android
8.002,13.117,836,Oculus Quest_Android
8.016,13.483,839,Oculus Quest_Android
8.032,14.481,843,Oculus Quest_Android
8.046,15.523,846,Oculus Quest_Android
8.059,14.047,850,Oculus Quest_Android
8.072,13.357,853,Oculus Quest_Android
8.086,13.477,856,Oculus Quest_Android
8.100,14.143,859,Oculus Quest_Android
8.114,13.546,863,Oculus Quest_Android
8.127,13.786,866,Oculus Quest_Android
8.146,13.244,869,Oculus Quest_Android
8.164,19.680,874,Oculus Quest_Android
8.181,17.792,878,Oculus Quest_Android
8.199,17.101,882,Oculus Quest_Android
8.222,17.641,886,Oculus Quest_Android
8.239,23.384,892,Oculus Quest_Android
8.259,17.200,896,Oculus Quest_Android
8.277,19.718,900,Oculus Quest_Android
8.293,17.723,905,Oculus Quest_Android
8.308,15.863,908,Oculus Quest_Android
8.322,14.929,912,Oculus Quest_Android
8.338,14.458,915,Oculus Quest_Android
8.354,15.825,919,Oculus Quest_Android
8.370,16.021,923,Oculus Quest_Android
8.385,15.772,927,Oculus Quest_Android
8.391,14.601,930,Oculus Quest_Android
8.402,11.239,933,Oculus Quest_Android
8.417,14.061,936,Oculus Quest_Android
8.430,13.668,939,Oculus Quest_Android
8.445,14.184,943,Oculus Quest_Android
8.458,13.727,946,Oculus Quest_Android
8.472,13.895,949,Oculus Quest_Android
8.486,13.873,953,Oculus Quest_Android
8.500,13.878,956,Oculus Quest_Android
8.523,14.149,959,Oculus Quest_Android
8.529,15.490,963,Oculus Quest_Android
8.550,12.047,966,Oculus Quest_Android
8.564,15.139,969,Oculus Quest_Android
8.579,14.173,973,Oculus Quest_Android
8.594,15.124,976,Oculus Quest_Android
8.608,14.970,980,Oculus Quest_Android
8.625,14.220,983,Oculus Quest_Android
8.639,16.021,987,Oculus Quest_Android
8.653,14.040,991,Oculus Quest_Android
8.666,14.071,994,Oculus Quest_Android
8.680,13.287,997,Oculus Quest_Android
8.695,14.295,1000,Oculus Quest_Android
8.713,14.469,1004,Oculus Quest_Android
8.729,18.950,1008,Oculus Quest_Android
8.750,17.509,1013,Oculus Quest_Android
8.769,19.054,1017,Oculus Quest_Android
8.786,18.749,1022,Oculus Quest_Android
8.801,17.208,1026,Oculus Quest_Android
8.815,14.678,1029,Oculus Quest_Android
8.828,13.810,1032,Oculus Quest_Android
8.843,13.949,1036,Oculus Quest_Android
8.858,15.137,1039,Oculus Quest_Android
8.872,14.057,1043,Oculus Quest_Android
8.886,13.975,1046,Oculus Quest_Android
8.901,14.110,1050,Oculus Quest_Android
8.925,16.002,1053,Oculus Quest_Android
8.943,23.390,1059,Oculus Quest_Android
8.962,17.888,1063,Oculus Quest_Android
8.980,19.488,1068,Oculus Quest_Android
8.998,17.620,1072,Oculus Quest_Android
9.018,17.948,1077,Oculus Quest_Android
9.026,20.285,1081,Oculus Quest_Android
9.034,8.072,1083,Oculus Quest_Android
9.044,9.241,1086,Oculus Quest_Android
9.056,13.210,1089,Oculus Quest_Android
9.070,13.990,1092,Oculus Quest_Android
9.085,14.197,1095,Oculus Quest_Android
9.098,13.325,1099,Oculus Quest_Android
9.112,13.946,1102,Oculus Quest_Android
9.125,13.633,1105,Oculus Quest_Android
9.151,14.356,1109,Oculus Quest_Android
9.157,18.471,1113,Oculus Quest_Android
9.167,9.112,1115,Oculus Quest_Android
9.181,13.957,1119,Oculus Quest_Android
9.195,13.831,1122,Oculus Quest_Android
9.209,14.015,1125,Oculus Quest_Android
9.223,14.202,1129,Oculus Quest_Android
9.236,13.442,1132,Oculus Quest_Android
9.260,14.049,1135,Oculus Quest_Android
9.276,16.218,1139,Oculus Quest_Android
9.292,16.040,1143,Oculus Quest_Android
9.308,16.604,1147,Oculus Quest_Android
9.324,15.910,1151,Oculus Quest_Android
9.338,15.197,1155,Oculus Quest_Android
9.355,14.916,1158,Oculus Quest_Android
9.371,17.565,1162,Oculus Quest_Android
9.387,15.552,1166,Oculus Quest_Android
9.402,15.319,1170,Oculus Quest_Android
9.417,15.453,1174,Oculus Quest_Android
9.433,15.235,1177,Oculus Quest_Android
9.449,15.573,1181,Oculus Quest_Android
9.463,15.611,1185,Oculus Quest_Android
9.477,13.989,1188,Oculus Quest_Android
9.492,14.454,1191,Oculus Quest_Android
9.506,14.847,1195,Oculus Quest_Android
9.520,14.128,1198,Oculus Quest_Android
9.535,13.744,1202,Oculus Quest_Android
9.550,14.808,1205,Oculus Quest_Android
9.566,16.204,1209,Oculus Quest_Android
9.581,14.744,1213,Oculus Quest_Android
9.594,14.840,1216,Oculus Quest_Android
9.609,13.688,1220,Oculus Quest_Android
9.625,15.241,1223,Oculus Quest_Android
9.644,16.078,1227,Oculus Quest_Android
9.661,18.220,1231,Oculus Quest_Android
9.678,17.380,1236,Oculus Quest_Android
9.696,16.856,1240,Oculus Quest_Android
9.703,17.860,1244,Oculus Quest_Android
9.710,7.198,1246,Oculus Quest_Android
9.722,12.404,1249,Oculus Quest_Android
9.736,13.756,1252,Oculus Quest_Android
9.751,14.398,1255,Oculus Quest_Android
9.764,13.415,1259,Oculus Quest_Android
9.779,14.200,1262,Oculus Quest_Android
9.791,13.493,1265,Oculus Quest_Android
9.815,15.184,1269,Oculus Quest_Android
9.832,15.720,1273,Oculus Quest_Android
9.847,16.282,1276,Oculus Quest_Android
9.864,15.423,1280,Oculus Quest_Android
9.881,16.916,1284,Oculus Quest_Android
9.898,16.567,1288,Oculus Quest_Android
9.916,17.345,1292,Oculus Quest_Android
9.935,18.225,1296,Oculus Quest_Android
9.952,18.728,1301,Oculus Quest_Android
9.958,16.812,1305,Oculus Quest_Android
9.972,13.325,1308,Oculus Quest_Android
9.986,13.741,1311,Oculus Quest_Android
10.000,13.958,1315,Oculus Quest_Android
10.014,13.973,1318,Oculus Quest_Android
