Timestamp,LatencyMs,Tick,Configuration
5.683,14.069,262,Oculus Quest_Android
5.807,93.348,284,Oculus Quest_Android
5.811,101.284,308,Oculus Quest_Android
5.837,25.782,315,Oculus Quest_Android
5.857,19.933,319,Oculus Quest_Android
5.873,15.699,323,Oculus Quest_Android
5.889,15.740,327,Oculus Quest_Android
5.903,14.327,330,Oculus Quest_Android
5.918,15.040,334,Oculus Quest_Android
5.932,14.348,337,Oculus Quest_Android
5.947,14.660,341,Oculus Quest_Android
5.962,14.363,344,Oculus Quest_Android
5.975,13.977,348,Oculus Quest_Android
5.990,14.164,351,Oculus Quest_Android
6.004,14.204,354,Oculus Quest_Android
6.018,14.262,358,Oculus Quest_Android
6.032,13.934,361,Oculus Quest_Android
6.046,13.871,365,Oculus Quest_Android
6.060,14.614,368,Oculus Quest_Android
6.074,13.586,371,Oculus Quest_Android
6.088,13.906,375,Oculus Quest_Android
6.102,13.848,378,Oculus Quest_Android
6.116,14.249,381,Oculus Quest_Android
6.130,13.906,385,Oculus Quest_Android
6.144,13.402,388,Oculus Quest_Android
6.158,14.116,391,Oculus Quest_Android
6.171,13.311,395,Oculus Quest_Android
6.186,15.000,398,Oculus Quest_Android
6.199,12.914,401,Oculus Quest_Android
6.213,13.736,405,Oculus Quest_Android
6.227,13.873,408,Oculus Quest_Android
6.240,13.765,411,Oculus Quest_Android
6.255,14.230,415,Oculus Quest_Android
6.268,13.721,418,Oculus Quest_Android
6.282,14.006,421,Oculus Quest_Android
6.296,13.877,425,Oculus Quest_Android
6.310,13.713,428,Oculus Quest_Android
6.323,14.244,431,Oculus Quest_Android
6.338,13.833,435,Oculus Quest_Android
6.352,14.290,438,Oculus Quest_Android
6.366,13.803,441,Oculus Quest_Android
6.380,13.772,445,Oculus Quest_Android
6.394,14.340,448,Oculus Quest_Android
6.408,13.557,451,Oculus Quest_Android
6.422,13.998,455,Oculus Quest_Android
6.436,13.819,458,Oculus Quest_Android
6.449,13.926,461,Oculus Quest_Android
