BinStart,BinEnd,BinCenter,Count,Frequency
8.693,10.544,9.619,8,0.000927
10.544,12.396,11.470,13,0.001507
12.396,14.248,13.322,7099,0.822882
14.248,16.100,15.174,1489,0.172598
16.100,17.952,17.026,12,0.001391
17.952,19.804,18.878,2,0.000232
19.804,21.655,20.730,1,0.000116
21.655,23.507,22.581,0,0.000000
23.507,25.359,24.433,0,0.000000
25.359,27.211,26.285,1,0.000116
27.211,29.063,28.137,0,0.000000
29.063,30.915,29.989,0,0.000000
30.915,32.766,31.840,0,0.000000
32.766,34.618,33.692,0,0.000000
34.618,36.470,35.544,0,0.000000
36.470,38.322,37.396,0,0.000000
38.322,40.174,39.248,0,0.000000
40.174,42.026,41.100,0,0.000000
42.026,43.877,42.951,0,0.000000
43.877,45.729,44.803,0,0.000000
45.729,47.581,46.655,0,0.000000
47.581,49.433,48.507,0,0.000000
49.433,51.285,50.359,0,0.000000
51.285,53.136,52.211,0,0.000000
53.136,54.988,54.062,0,0.000000
54.988,56.840,55.914,0,0.000000
56.840,58.692,57.766,0,0.000000
58.692,60.544,59.618,0,0.000000
60.544,62.396,61.470,0,0.000000
62.396,64.247,63.322,0,0.000000
64.247,66.099,65.173,0,0.000000
66.099,67.951,67.025,0,0.000000
67.951,69.803,68.877,0,0.000000
69.803,71.655,70.729,0,0.000000
71.655,73.507,72.581,0,0.000000
73.507,75.358,74.432,0,0.000000
75.358,77.210,76.284,0,0.000000
77.210,79.062,78.136,0,0.000000
79.062,80.914,79.988,0,0.000000
80.914,82.766,81.840,0,0.000000
82.766,84.617,83.692,0,0.000000
84.617,86.469,85.543,0,0.000000
86.469,88.321,87.395,0,0.000000
88.321,90.173,89.247,0,0.000000
90.173,92.025,91.099,0,0.000000
92.025,93.877,92.951,1,0.000116
93.877,95.728,94.803,0,0.000000
95.728,97.580,96.654,0,0.000000
97.580,99.432,98.506,0,0.000000
99.432,101.284,100.358,1,0.000116
