Timestamp,LatencyMs,Tick,Configuration
6.032,12.593,329,XREAL X4000_Android
6.530,221.548,382,XREAL X4000_Android
6.545,333.333,481,XREAL X4000_Android
6.558,16.755,485,XREAL X4000_Android
6.568,11.054,488,XREAL X4000_Android
6.582,12.273,491,XREAL X4000_Android
6.593,12.819,494,XREAL X4000_Android
6.624,29.843,501,XREAL X4000_Android
6.658,30.616,509,XREAL X4000_Android
6.678,22.345,514,XREAL X4000_Android
6.694,17.756,518,XREAL X4000_Android
6.710,13.372,521,XREAL X4000_Android
6.725,18.516,526,XREAL X4000_Android
6.738,12.084,529,XREAL X4000_Android
6.753,12.517,532,XREAL X4000_Android
6.765,13.693,535,XREAL X4000_Android
6.778,12.636,538,XREAL X4000_Android
6.795,15.190,542,XREAL X4000_Android
6.809,14.569,545,XREAL X4000_Android
6.824,15.521,549,XREAL X4000_Android
6.836,12.783,552,XREAL X4000_Android
6.850,14.923,556,XREAL X4000_Android
6.864,12.921,559,XREAL X4000_Android
6.876,11.089,561,XREAL X4000_Android
6.889,14.239,565,XREAL X4000_Android
6.902,12.920,568,XREAL X4000_Android
6.917,15.564,572,XREAL X4000_Android
6.931,13.965,575,XREAL X4000_Android
6.944,11.713,578,XREAL X4000_Android
6.958,15.619,582,XREAL X4000_Android
6.969,11.563,584,XREAL X4000_Android
6.982,12.593,587,XREAL X4000_Android
6.996,14.726,591,XREAL X4000_Android
7.011,12.347,594,XREAL X4000_Android
7.029,18.447,598,XREAL X4000_Android
7.038,11.781,601,XREAL X4000_Android
7.054,14.043,604,XREAL X4000_Android
7.065,12.854,608,XREAL X4000_Android
7.078,11.096,610,XREAL X4000_Android
7.094,16.864,614,XREAL X4000_Android
7.112,13.122,617,XREAL X4000_Android
7.128,19.164,622,XREAL X4000_Android
7.138,11.922,625,XREAL X4000_Android
7.153,13.869,628,XREAL X4000_Android
7.165,13.312,631,XREAL X4000_Android
7.177,10.701,634,XREAL X4000_Android
7.193,16.761,638,XREAL X4000_Android
7.211,13.948,641,XREAL X4000_Android
7.225,19.293,646,XREAL X4000_Android
7.237,10.337,648,XREAL X4000_Android
7.250,13.653,652,XREAL X4000_Android
7.264,12.287,655,XREAL X4000_Android
7.281,13.762,658,XREAL X4000_Android
7.294,17.286,662,XREAL X4000_Android
7.306,11.441,665,XREAL X4000_Android
7.322,15.242,669,XREAL X4000_Android
7.333,12.992,672,XREAL X4000_Android
7.348,13.290,675,XREAL X4000_Android
7.362,15.333,679,XREAL X4000_Android
7.382,13.510,682,XREAL X4000_Android
7.394,19.388,686,XREAL X4000_Android
7.406,10.285,689,XREAL X4000_Android
7.424,16.441,693,XREAL X4000_Android
7.435,13.524,696,XREAL X4000_Android
7.446,11.036,699,XREAL X4000_Android
7.459,12.580,702,XREAL X4000_Android
7.471,11.906,705,XREAL X4000_Android
7.488,18.409,709,XREAL X4000_Android
7.513,21.512,714,XREAL X4000_Android
7.531,16.044,718,XREAL X4000_Android
7.543,15.055,722,XREAL X4000_Android
7.557,15.163,725,XREAL X4000_Android
7.570,14.459,729,XREAL X4000_Android
7.581,10.120,731,XREAL X4000_Android
7.599,17.176,735,XREAL X4000_Android
7.623,22.409,741,XREAL X4000_Android
7.634,14.369,744,XREAL X4000_Android
7.650,10.850,747,XREAL X4000_Android
7.662,16.063,751,XREAL X4000_Android
7.675,12.283,754,XREAL X4000_Android
7.693,17.288,758,XREAL X4000_Android
7.704,13.105,761,XREAL X4000_Android
7.722,16.521,765,XREAL X4000_Android
7.732,10.794,767,XREAL X4000_Android
7.750,15.252,771,XREAL X4000_Android
7.765,16.290,775,XREAL X4000_Android
7.774,10.930,778,XREAL X4000_Android
7.791,15.336,781,XREAL X4000_Android
7.801,11.171,784,XREAL X4000_Android
7.830,29.517,791,XREAL X4000_Android
7.840,9.684,793,XREAL X4000_Android
7.872,27.966,800,XREAL X4000_Android
7.900,33.051,808,XREAL X4000_Android
7.912,10.293,810,XREAL X4000_Android
7.937,25.613,817,XREAL X4000_Android
7.957,18.730,821,XREAL X4000_Android
7.980,24.527,827,XREAL X4000_Android
8.020,39.976,837,XREAL X4000_Android
8.035,15.722,840,XREAL X4000_Android
8.055,16.956,844,XREAL X4000_Android
8.087,30.232,852,XREAL X4000_Android
8.116,27.917,858,XREAL X4000_Android
8.129,18.686,863,XREAL X4000_Android
8.148,18.266,867,XREAL X4000_Android
8.184,31.191,875,XREAL X4000_Android
8.199,17.863,879,XREAL X4000_Android
8.226,27.176,886,XREAL X4000_Android
8.253,28.878,892,XREAL X4000_Android
8.269,17.145,897,XREAL X4000_Android
8.288,18.372,901,XREAL X4000_Android
8.322,33.351,909,XREAL X4000_Android
8.333,11.347,912,XREAL X4000_Android
8.360,26.055,918,XREAL X4000_Android
8.396,33.864,926,XREAL X4000_Android
8.410,15.913,930,XREAL X4000_Android
8.431,20.989,935,XREAL X4000_Android
8.442,11.192,938,XREAL X4000_Android
8.469,24.496,944,XREAL X4000_Android
8.505,35.994,952,XREAL X4000_Android
8.528,23.774,958,XREAL X4000_Android
8.541,15.688,962,XREAL X4000_Android
8.557,14.118,965,XREAL X4000_Android
8.567,12.770,968,XREAL X4000_Android
8.577,8.077,970,XREAL X4000_Android
8.613,32.349,978,XREAL X4000_Android
8.631,21.768,983,XREAL X4000_Android
8.651,18.259,987,XREAL X4000_Android
8.679,27.767,994,XREAL X4000_Android
8.697,18.431,998,XREAL X4000_Android
8.725,29.554,1006,XREAL X4000_Android
8.736,11.739,1008,XREAL X4000_Android
8.762,23.992,1014,XREAL X4000_Android
8.774,13.689,1017,XREAL X4000_Android
8.803,27.200,1024,XREAL X4000_Android
8.831,29.426,1031,XREAL X4000_Android
8.843,11.254,1034,XREAL X4000_Android
8.868,26.637,1040,XREAL X4000_Android
8.906,34.992,1049,XREAL X4000_Android
8.929,23.404,1054,XREAL X4000_Android
8.943,14.892,1058,XREAL X4000_Android
8.965,23.264,1063,XREAL X4000_Android
9.000,34.312,1072,XREAL X4000_Android
9.024,17.751,1076,XREAL X4000_Android
9.036,19.932,1081,XREAL X4000_Android
9.066,28.362,1087,XREAL X4000_Android
9.101,32.127,1095,XREAL X4000_Android
9.130,31.678,1103,XREAL X4000_Android
9.143,13.620,1106,XREAL X4000_Android
9.162,19.070,1111,XREAL X4000_Android
9.197,33.613,1119,XREAL X4000_Android
9.229,30.870,1126,XREAL X4000_Android
9.239,12.788,1129,XREAL X4000_Android
9.260,21.147,1134,XREAL X4000_Android
9.297,33.958,1142,XREAL X4000_Android
9.325,28.780,1149,XREAL X4000_Android
9.340,15.357,1153,XREAL X4000_Android
9.359,19.946,1158,XREAL X4000_Android
9.396,34.284,1166,XREAL X4000_Android
9.424,23.178,1171,XREAL X4000_Android
9.438,22.140,1177,XREAL X4000_Android
9.455,19.075,1181,XREAL X4000_Android
9.493,34.144,1190,XREAL X4000_Android
9.519,22.206,1195,XREAL X4000_Android
9.535,21.119,1200,XREAL X4000_Android
9.554,18.203,1204,XREAL X4000_Android
9.585,31.508,1212,XREAL X4000_Android
9.600,13.753,1215,XREAL X4000_Android
9.627,27.564,1222,XREAL X4000_Android
9.652,23.584,1227,XREAL X4000_Android
9.663,14.188,1231,XREAL X4000_Android
9.701,34.490,1239,XREAL X4000_Android
9.726,27.323,1246,XREAL X4000_Android
9.747,20.851,1251,XREAL X4000_Android
9.759,13.027,1254,XREAL X4000_Android
9.799,38.449,1263,XREAL X4000_Android
9.826,27.586,1270,XREAL X4000_Android
9.851,22.045,1275,XREAL X4000_Android
9.862,15.935,1279,XREAL X4000_Android
9.890,22.931,1284,XREAL X4000_Android
9.919,27.788,1291,XREAL X4000_Android
9.937,23.406,1297,XREAL X4000_Android
9.953,17.454,1301,XREAL X4000_Android
9.997,38.727,1310,XREAL X4000_Android
10.024,22.692,1316,XREAL X4000_Android
10.042,25.321,1322,XREAL X4000_Android
10.052,12.716,1325,XREAL X4000_Android
10.085,26.844,1331,XREAL X4000_Android
10.113,26.052,1337,XREAL X4000_Android
10.133,26.130,1344,XREAL X4000_Android
10.147,14.809,1347,XREAL X4000_Android
10.181,29.028,1354,XREAL X4000_Android
10.213,32.193,1362,XREAL X4000_Android
10.230,20.280,1367,XREAL X4000_Android
10.247,15.713,1371,XREAL X4000_Android
10.272,27.394,1377,XREAL X4000_Android
10.300,27.613,1384,XREAL X4000_Android
10.330,31.533,1391,XREAL X4000_Android
10.343,11.442,1394,XREAL X4000_Android
10.369,25.911,1400,XREAL X4000_Android
10.408,31.529,1408,XREAL X4000_Android
10.436,34.479,1416,XREAL X4000_Android
10.459,22.572,1422,XREAL X4000_Android
10.487,26.569,1428,XREAL X4000_Android
10.500,15.188,1432,XREAL X4000_Android
10.527,27.888,1438,XREAL X4000_Android
10.553,25.825,1444,XREAL X4000_Android
10.587,29.197,1451,XREAL X4000_Android
10.599,16.974,1455,XREAL X4000_Android
10.626,26.003,1462,XREAL X4000_Android
10.650,22.857,1467,XREAL X4000_Android
10.662,14.957,1471,XREAL X4000_Android
10.695,30.708,1478,XREAL X4000_Android
10.725,27.753,1485,XREAL X4000_Android
10.746,23.946,1491,XREAL X4000_Android
10.776,26.879,1497,XREAL X4000_Android
10.792,19.358,1502,XREAL X4000_Android
10.822,25.439,1508,XREAL X4000_Android
10.851,27.725,1514,XREAL X4000_Android
10.868,23.683,1520,XREAL X4000_Android
10.896,28.487,1527,XREAL X4000_Android
10.915,16.862,1531,XREAL X4000_Android
10.948,28.275,1538,XREAL X4000_Android
10.965,24.111,1544,XREAL X4000_Android
10.997,30.059,1551,XREAL X4000_Android
11.033,35.073,1559,XREAL X4000_Android
11.066,31.481,1567,XREAL X4000_Android
11.083,17.696,1571,XREAL X4000_Android
11.108,24.940,1577,XREAL X4000_Android
11.131,26.268,1583,XREAL X4000_Android
11.149,15.418,1587,XREAL X4000_Android
11.178,31.795,1595,XREAL X4000_Android
11.205,25.134,1601,XREAL X4000_Android
11.229,26.393,1607,XREAL X4000_Android
11.271,40.326,1617,XREAL X4000_Android
11.306,32.055,1624,XREAL X4000_Android
11.325,23.320,1630,XREAL X4000_Android
11.340,14.167,1633,XREAL X4000_Android
11.367,27.988,1640,XREAL X4000_Android
11.387,16.988,1644,XREAL X4000_Android
11.413,27.730,1651,XREAL X4000_Android
11.434,23.289,1656,XREAL X4000_Android
11.464,29.418,1663,XREAL X4000_Android
11.508,34.550,1672,XREAL X4000_Android
11.524,24.088,1678,XREAL X4000_Android
11.555,31.533,1685,XREAL X4000_Android
11.592,21.227,1690,XREAL X4000_Android
11.614,30.896,1698,XREAL X4000_Android
11.633,24.991,1704,XREAL X4000_Android
