"participant_id","order","timestamp","consent","programming_exp","engine_xr_exp","time_sec","tlx_mental","tlx_physical","tlx_temporal","tlx_performance","tlx_effort","tlx_frustration","sus_q1","sus_q2","sus_q3","sus_q4","sus_q5","sus_q6","sus_q7","sus_q8","sus_q9","sus_q10"
"1","AB","9/8/2025 11:49:16","예, 연구 참여에 동의합니다.","3","4","541","65","10","10","75","30","0","4","2","3","4","4","2","4","2","5","3"
"2","AB","9/8/2025 11:55:58","예, 연구 참여에 동의합니다.","5","5","818","70","20","40","75","80","25","3","2","3","4","4","2","1","2","4","3"
"3","BA","9/8/2025 16:38:53","예, 연구 참여에 동의합니다.","3","3","407","40","10","10","60","20","10","3","2","3","2","3","2","3","2","3","2"
"4","BA","9/8/2025 16:53:08","예, 연구 참여에 동의합니다.","3","2","701","0","0","0","100","10","0","4","1","5","1","4","1","5","1","4","3"
"5","BA","9/8/2025 16:56:22","예, 연구 참여에 동의합니다.","3","3","801","60","30","30","60","40","30","3","2","4","3","4","2","4","2","3","2"
"6","AB","9/9/2025 10:39:01","예, 연구 참여에 동의합니다.","4","4","378","20","20","10","90","20","0","5","1","5","2","5","1","5","1","5","1"
"7","AB","9/9/2025 10:44:18","예, 연구 참여에 동의합니다.","3","3","374","65","40","80","100","60","10","4","2","2","1","3","1","3","2","4","4"
"8","AB","9/9/2025 10:55:18","예, 연구 참여에 동의합니다.","4","3","854","40","45","65","75","60","20","4","2","3","3","3","2","4","2","4","2"
"9","AB","9/10/2025 14:35:23","예, 연구 참여에 동의합니다.","3","3","463","10","0","10","100","10","0","3","1","5","1","3","1","4","1","5","1"
"10","AB","9/10/2025 14:48:25","예, 연구 참여에 동의합니다.","2","1","799","85","75","85","25","75","80","4","1","5","1","4","1","5","1","2","1"
"11","AB","9/10/2025 14:48:32","예, 연구 참여에 동의합니다.","3","3","656","75","25","55","70","75","40","3","4","2","5","3","2","1","5","2","5"
"12","BA","9/10/2025 15:38:09","예, 연구 참여에 동의합니다.","2","2","422","30","10","20","70","30","20","4","2","4","4","4","2","4","2","4","2"
"13","BA","9/10/2025 15:41:41","예, 연구 참여에 동의합니다.","2","2","549.6","65","30","10","90","70","35","3","2","4","3","3","3","4","2","2","3"
"14","BA","9/10/2025 15:42:35","예, 연구 참여에 동의합니다.","3","3","514","30","15","30","100","30","10","4","2","4","4","4","2","4","2","4","2"
"15","BA","9/10/2025 16:41:48","예, 연구 참여에 동의합니다.","3","2","617","30","20","40","90","40","30","4","2","4","1","5","1","5","2","4","1"
"16","BA","9/10/2025 16:43:47","예, 연구 참여에 동의합니다.","2","1","670","30","30","20","80","65","10","4","1","4","3","4","1","4","1","4","2"
"17","AB","9/11/2025 11:00:17","예, 연구 참여에 동의합니다.","4","3","326","20","20","30","100","30","20","4","1","4","2","4","1","4","2","5","2"
"18","AB","9/11/2025 11:05:19","예, 연구 참여에 동의합니다.","4","3","293","30","40","30","100","50","10","5","2","4","1","4","1","5","1","5","1"
"19","BA","9/11/2025 11:08:17","예, 연구 참여에 동의합니다.","5","4","533","60","20","50","90","60","15","5","2","4","2","5","1","4","1","4","2"
