BinStart,BinEnd,BinCenter,Count,Frequency
6.704,9.151,7.928,119,0.015142
9.151,11.597,10.374,166,0.021122
11.597,14.044,12.820,2289,0.291258
14.044,16.490,15.267,3773,0.480087
16.490,18.936,17.713,1110,0.141239
18.936,21.383,20.160,169,0.021504
21.383,23.829,22.606,57,0.007253
23.829,26.276,25.052,90,0.011452
26.276,28.722,27.499,72,0.009161
28.722,31.168,29.945,10,0.001272
31.168,33.615,32.392,2,0.000254
33.615,36.061,34.838,0,0.000000
36.061,38.508,37.284,0,0.000000
38.508,40.954,39.731,0,0.000000
40.954,43.400,42.177,0,0.000000
43.400,45.847,44.624,0,0.000000
45.847,48.293,47.070,0,0.000000
48.293,50.740,49.516,0,0.000000
50.740,53.186,51.963,0,0.000000
53.186,55.632,54.409,0,0.000000
55.632,58.079,56.856,0,0.000000
58.079,60.525,59.302,0,0.000000
60.525,62.972,61.748,0,0.000000
62.972,65.418,64.195,0,0.000000
65.418,67.864,66.641,0,0.000000
67.864,70.311,69.088,0,0.000000
70.311,72.757,71.534,0,0.000000
72.757,75.204,73.980,0,0.000000
75.204,77.650,76.427,0,0.000000
77.650,80.096,78.873,0,0.000000
80.096,82.543,81.320,0,0.000000
82.543,84.989,83.766,1,0.000127
84.989,87.436,86.212,0,0.000000
87.436,89.882,88.659,0,0.000000
89.882,92.328,91.105,0,0.000000
92.328,94.775,93.552,0,0.000000
94.775,97.221,95.998,0,0.000000
97.221,99.668,98.444,0,0.000000
99.668,102.114,100.891,0,0.000000
102.114,104.560,103.337,0,0.000000
104.560,107.007,105.784,0,0.000000
107.007,109.453,108.230,0,0.000000
109.453,111.900,110.676,0,0.000000
111.900,114.346,113.123,0,0.000000
114.346,116.792,115.569,0,0.000000
116.792,119.239,118.016,0,0.000000
119.239,121.685,120.462,0,0.000000
121.685,124.132,122.908,0,0.000000
124.132,126.578,125.355,0,0.000000
126.578,129.024,127.801,1,0.000127
