Timestamp,LatencyMs,Tick,Configuration
5.913,30.446,308,XREAL X4000_Android
6.150,183.492,352,XREAL X4000_Android
6.178,162.625,391,XREAL X4000_Android
6.208,29.455,398,XREAL X4000_Android
6.248,29.660,405,XREAL X4000_Android
6.277,39.821,415,XREAL X4000_Android
6.306,30.287,422,XREAL X4000_Android
6.341,29.798,429,XREAL X4000_Android
6.375,34.707,438,XREAL X4000_Android
6.408,32.573,445,XREAL X4000_Android
6.442,31.297,453,XREAL X4000_Android
6.473,35.972,462,XREAL X4000_Android
6.502,29.038,469,XREAL X4000_Android
6.538,29.249,476,XREAL X4000_Android
6.574,37.927,485,XREAL X4000_Android
6.602,33.018,493,XREAL X4000_Android
6.636,28.207,499,XREAL X4000_Android
6.670,35.959,508,XREAL X4000_Android
6.704,33.027,516,XREAL X4000_Android
6.741,32.063,524,XREAL X4000_Android
6.776,40.808,533,XREAL X4000_Android
6.804,32.440,541,XREAL X4000_Android
6.841,28.792,548,XREAL X4000_Android
6.876,41.388,558,XREAL X4000_Android
6.905,30.673,565,XREAL X4000_Android
6.938,29.852,573,XREAL X4000_Android
6.974,34.162,581,XREAL X4000_Android
7.005,34.347,589,XREAL X4000_Android
7.040,30.130,596,XREAL X4000_Android
7.082,39.468,606,XREAL X4000_Android
7.112,37.690,615,XREAL X4000_Android
7.153,30.884,622,XREAL X4000_Android
7.187,39.141,632,XREAL X4000_Android
7.217,34.139,640,XREAL X4000_Android
7.261,30.984,647,XREAL X4000_Android
7.295,42.463,657,XREAL X4000_Android
7.328,32.491,665,XREAL X4000_Android
7.369,35.012,674,XREAL X4000_Android
7.409,42.200,684,XREAL X4000_Android
7.444,39.359,693,XREAL X4000_Android
7.489,38.435,702,XREAL X4000_Android
7.525,40.522,712,XREAL X4000_Android
7.567,35.511,721,XREAL X4000_Android
7.603,42.116,731,XREAL X4000_Android
7.641,35.522,739,XREAL X4000_Android
7.685,49.524,751,XREAL X4000_Android
7.713,34.351,759,XREAL X4000_Android
7.760,30.503,767,XREAL X4000_Android
7.795,43.660,777,XREAL X4000_Android
7.824,34.753,786,XREAL X4000_Android
7.866,29.629,793,XREAL X4000_Android
7.905,41.765,803,XREAL X4000_Android
7.941,40.450,812,XREAL X4000_Android
7.977,36.456,821,XREAL X4000_Android
8.015,39.699,831,XREAL X4000_Android
8.043,34.159,839,XREAL X4000_Android
8.079,27.895,846,XREAL X4000_Android
8.112,38.373,855,XREAL X4000_Android
8.141,31.214,862,XREAL X4000_Android
8.177,27.817,869,XREAL X4000_Android
8.212,37.600,878,XREAL X4000_Android
8.238,33.105,886,XREAL X4000_Android
8.268,24.620,892,XREAL X4000_Android
8.304,30.717,899,XREAL X4000_Android
8.332,34.656,908,XREAL X4000_Android
8.362,27.327,914,XREAL X4000_Android
8.397,28.784,921,XREAL X4000_Android
8.424,35.077,929,XREAL X4000_Android
8.447,27.730,936,XREAL X4000_Android
8.479,26.837,943,XREAL X4000_Android
