BinStart,BinEnd,BinCenter,Count,Frequency
9.531,13.010,11.270,129,0.030788
13.010,16.489,14.750,443,0.105728
16.489,19.968,18.229,465,0.110979
19.968,23.448,21.708,177,0.042243
23.448,26.927,25.187,171,0.040811
26.927,30.406,28.666,689,0.164439
30.406,33.885,32.146,938,0.223866
33.885,37.365,35.625,675,0.161098
37.365,40.844,39.104,331,0.078998
40.844,44.323,42.583,85,0.020286
44.323,47.802,46.063,30,0.007160
47.802,51.281,49.542,17,0.004057
51.281,54.761,53.021,16,0.003819
54.761,58.240,56.500,8,0.001909
58.240,61.719,59.979,3,0.000716
61.719,65.198,63.459,4,0.000955
65.198,68.678,66.938,2,0.000477
68.678,72.157,70.417,4,0.000955
72.157,75.636,73.896,0,0.000000
75.636,79.115,77.376,1,0.000239
79.115,82.594,80.855,0,0.000000
82.594,86.074,84.334,0,0.000000
86.074,89.553,87.813,0,0.000000
89.553,93.032,91.293,0,0.000000
93.032,96.511,94.772,0,0.000000
96.511,99.991,98.251,0,0.000000
99.991,103.470,101.730,0,0.000000
103.470,106.949,105.209,0,0.000000
106.949,110.428,108.689,0,0.000000
110.428,113.908,112.168,0,0.000000
113.908,117.387,115.647,0,0.000000
117.387,120.866,119.126,0,0.000000
120.866,124.345,122.606,0,0.000000
124.345,127.824,126.085,0,0.000000
127.824,131.304,129.564,0,0.000000
131.304,134.783,133.043,0,0.000000
134.783,138.262,136.523,0,0.000000
138.262,141.741,140.002,0,0.000000
141.741,145.221,143.481,0,0.000000
145.221,148.700,146.960,0,0.000000
148.700,152.179,150.439,0,0.000000
152.179,155.658,153.919,0,0.000000
155.658,159.137,157.398,0,0.000000
159.137,162.617,160.877,0,0.000000
162.617,166.096,164.356,1,0.000239
166.096,169.575,167.836,0,0.000000
169.575,173.054,171.315,0,0.000000
173.054,176.534,174.794,0,0.000000
176.534,180.013,178.273,0,0.000000
180.013,183.492,181.752,1,0.000239
