BinStart,BinEnd,BinCenter,Count,Frequency
5.626,12.180,8.903,802,0.135633
12.180,18.734,15.457,2218,0.375106
18.734,25.288,22.011,1209,0.204465
25.288,31.843,28.566,1235,0.208862
31.843,38.397,35.120,436,0.073736
38.397,44.951,41.674,11,0.001860
44.951,51.505,48.228,0,0.000000
51.505,58.059,54.782,0,0.000000
58.059,64.613,61.336,0,0.000000
64.613,71.167,67.890,0,0.000000
71.167,77.722,74.445,0,0.000000
77.722,84.276,80.999,0,0.000000
84.276,90.830,87.553,0,0.000000
90.830,97.384,94.107,0,0.000000
97.384,103.938,100.661,0,0.000000
103.938,110.492,107.215,0,0.000000
110.492,117.046,113.769,0,0.000000
117.046,123.601,120.324,0,0.000000
123.601,130.155,126.878,0,0.000000
130.155,136.709,133.432,0,0.000000
136.709,143.263,139.986,0,0.000000
143.263,149.817,146.540,0,0.000000
149.817,156.371,153.094,0,0.000000
156.371,162.926,159.648,0,0.000000
162.926,169.480,166.203,0,0.000000
169.480,176.034,172.757,0,0.000000
176.034,182.588,179.311,0,0.000000
182.588,189.142,185.865,0,0.000000
189.142,195.696,192.419,0,0.000000
195.696,202.250,198.973,0,0.000000
202.250,208.805,205.527,0,0.000000
208.805,215.359,212.082,0,0.000000
215.359,221.913,218.636,1,0.000169
221.913,228.467,225.190,0,0.000000
228.467,235.021,231.744,0,0.000000
235.021,241.575,238.298,0,0.000000
241.575,248.129,244.852,0,0.000000
248.129,254.684,251.407,0,0.000000
254.684,261.238,257.961,0,0.000000
261.238,267.792,264.515,0,0.000000
267.792,274.346,271.069,0,0.000000
274.346,280.900,277.623,0,0.000000
280.900,287.454,284.177,0,0.000000
287.454,294.008,290.731,0,0.000000
294.008,300.563,297.286,0,0.000000
300.563,307.117,303.840,0,0.000000
307.117,313.671,310.394,0,0.000000
313.671,320.225,316.948,0,0.000000
320.225,326.779,323.502,0,0.000000
326.779,333.333,330.056,1,0.000169
