"participant_id","order","timestamp","consent","programming_exp","engine_xr_exp","time_sec","tlx_mental","tlx_physical","tlx_temporal","tlx_performance","tlx_effort","tlx_frustration","sus_q1","sus_q2","sus_q3","sus_q4","sus_q5","sus_q6","sus_q7","sus_q8","sus_q9","sus_q10"
"1","AB","9/8/2025 11:49:16","예, 연구 참여에 동의합니다.","3","4","796","80","20","10","85","50","10","1","5","2","5","2","1","2","4","3","5"
"2","AB","9/8/2025 11:55:58","예, 연구 참여에 동의합니다.","5","5","1200","85","30","40","90","95","30","2","5","2","5","2","5","1","4","2","5"
"3","BA","9/8/2025 16:38:53","예, 연구 참여에 동의합니다.","3","3","950","75","10","10","70","70","10","3","2","2","3","2","2","2","3","2","4"
"4","BA","9/8/2025 16:53:08","예, 연구 참여에 동의합니다.","3","2","1417","20","0","0","100","20","20","3","4","2","4","2","3","1","5","2","5"
"5","BA","9/8/2025 16:56:22","예, 연구 참여에 동의합니다.","3","3","1529","80","60","40","50","70","80","2","4","2","5","2","5","2","4","1","4"
"6","AB","9/9/2025 10:39:01","예, 연구 참여에 동의합니다.","4","4","697","80","20","90","80","80","60","1","1","1","4","3","5","1","5","1","5"
"7","AB","9/9/2025 10:44:18","예, 연구 참여에 동의합니다.","3","3","997","90","85","95","100","90","60","2","5","2","3","3","4","1","4","3","4"
"8","AB","9/9/2025 10:55:18","예, 연구 참여에 동의합니다.","4","3","1093","70","80","80","80","80","30","2","4","2","5","2","4","2","2","3","4"
"9","AB","9/10/2025 14:35:23","예, 연구 참여에 동의합니다.","3","3","607","50","0","10","100","50","30","2","5","1","3","1","2","1","5","2","4"
"10","AB","9/10/2025 14:48:25","예, 연구 참여에 동의합니다.","2","1","911","95","90","95","10","95","95","2","4","2","4","3","4","2","3","2","2"
"11","AB","9/10/2025 14:48:32","예, 연구 참여에 동의합니다.","3","3","924","80","30","40","70","75","55","2","5","2","5","3","2","1","4","2","4"
"12","BA","9/10/2025 15:38:09","예, 연구 참여에 동의합니다.","2","2","940","60","20","40","70","55","40","4","2","2","4","4","3","3","2","3","3"
"13","BA","9/10/2025 15:41:41","예, 연구 참여에 동의합니다.","2","2","975","70","20","0","80","70","40","3","3","4","3","4","2","4","4","2","4"
"14","BA","9/10/2025 15:42:35","예, 연구 참여에 동의합니다.","3","3","1053","60","40","70","100","60","55","3","3","2","3","3","3","3","2","3","2"
"15","BA","9/10/2025 16:41:48","예, 연구 참여에 동의합니다.","3","2","1065","50","50","60","70","70","75","3","3","3","3","3","4","3","3","3","3"
"16","BA","9/10/2025 16:43:47","예, 연구 참여에 동의합니다.","2","1","1150","80","50","60","80","75","40","3","2","3","4","3","2","3","3","3","2"
"17","AB","9/11/2025 11:00:17","예, 연구 참여에 동의합니다.","4","3","698","70","40","50","80","70","50","3","3","2","2","2","3","2","4","3","3"
"18","AB","9/11/2025 11:05:19","예, 연구 참여에 동의합니다.","4","3","655","60","70","80","70","70","50","2","3","2","2","2","2","1","4","2","4"
"19","BA","9/11/2025 11:08:17","예, 연구 참여에 동의합니다.","5","4","828","80","30","60","70","80","60","3","4","1","3","3","2","2","3","2","3"
